"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.199633333E-2,2.696163940E1,-1.462703705E1,-4.254641724E1,5.245071813E1
5.196933332E-2,2.692008972E1,-1.453746796E1,-4.265414429E1,5.249195396E1
6.194233333E-2,2.687170410E1,-1.426134491E1,-4.278500366E1,5.249791404E1
7.191633333E-2,2.693665314E1,-1.380119324E1,-4.303387451E1,5.261150608E1
8.188933332E-2,2.676646423E1,-1.352314758E1,-4.285479736E1,5.230538008E1
9.186233333E-2,2.639244843E1,-1.293669891E1,-4.345623779E1,5.246297853E1
1.018353333E-1,2.650161743E1,-1.288252258E1,-4.351416016E1,5.255261410E1
1.118083333E-1,2.643555450E1,-1.242018127E1,-4.369949341E1,5.256182235E1
1.217823333E-1,2.636669922E1,-1.209613800E1,-4.331500244E1,5.213164892E1
1.317553333E-1,2.627296448E1,-1.180526733E1,-4.353469849E1,5.220060317E1
1.417283333E-1,2.629526520E1,-1.143415070E1,-4.367227173E1,5.224412017E1
1.517013333E-1,2.629251099E1,-1.115186310E1,-4.387835693E1,5.235427768E1
1.616743333E-1,2.641546631E1,-1.073149109E1,-4.381182861E1,5.227253665E1
1.716483333E-1,2.610925293E1,-1.056912994E1,-4.374667358E1,5.203048189E1
1.816213333E-1,2.627291870E1,-1.057703400E1,-4.409350586E1,5.240588864E1
1.915943333E-1,2.643802643E1,-1.015373230E1,-4.403726196E1,5.235788348E1
2.015673333E-1,2.657043457E1,-1.038423920E1,-4.403207397E1,5.246564548E1
2.115403333E-1,2.653102875E1,-1.026916504E1,-4.373019409E1,5.216973368E1
2.215143333E-1,2.665475464E1,-1.040721130E1,-4.338662720E1,5.197292960E1
2.314873333E-1,2.664572906E1,-1.008842468E1,-4.365505981E1,5.212998597E1
2.414603333E-1,2.705603027E1,-9.940963745E0,-4.351309204E1,5.219425939E1
2.514333333E-1,2.705271149E1,-1.000238037E1,-4.360046387E1,5.227711986E1
2.614063333E-1,2.712162018E1,-9.673652649E0,-4.377951050E1,5.240045206E1
2.713803333E-1,2.721932220E1,-9.518325806E0,-4.358618164E1,5.226131703E1
2.813533333E-1,2.713543701E1,-9.293746948E0,-4.350073242E1,5.210584800E1
2.913263333E-1,2.722059631E1,-9.271797180E0,-4.361764526E1,5.224390936E1
3.012993333E-1,2.719993591E1,-9.304939270E0,-4.384674072E1,5.243047855E1
3.112723333E-1,2.723081970E1,-9.099830627E0,-4.350531006E1,5.212519988E1
3.212453333E-1,2.714919281E1,-8.937530518E0,-4.361779785E1,5.214854180E1
3.312193333E-1,2.707528687E1,-8.760086060E0,-4.378024292E1,5.221608887E1
3.411923333E-1,2.727455902E1,-8.527885437E0,-4.364038086E1,5.216425252E1
3.511653333E-1,2.726598358E1,-8.361801147E0,-4.379879761E1,5.226555511E1
3.611383333E-1,2.732352448E1,-8.059387207E0,-4.355734253E1,5.204585286E1
3.711113333E-1,2.720691681E1,-8.177986145E0,-4.357882690E1,5.202124503E1
3.810853333E-1,2.740354156E1,-7.813766479E0,-4.368441772E1,5.215685371E1
3.910583333E-1,2.728121185E1,-7.439514160E0,-4.379888916E1,5.213399642E1
4.010313333E-1,2.736508179E1,-7.469856262E0,-4.385903931E1,5.223276541E1
4.110043333E-1,2.725273132E1,-7.130378723E0,-4.387527466E1,5.214013226E1
4.209773333E-1,2.678923035E1,-6.854698181E0,-4.414617920E1,5.209160093E1
4.309513333E-1,2.685081482E1,-6.591087341E0,-4.435220337E1,5.226400896E1
4.409243333E-1,2.690496063E1,-6.509391785E0,-4.429562378E1,5.223362302E1
4.508973333E-1,2.673828125E1,-6.240303040E0,-4.461788940E1,5.238924624E1
4.608703333E-1,2.685000610E1,-6.037780762E0,-4.399072266E1,5.188989597E1
4.708433333E-1,2.679493713E1,-5.781684875E0,-4.398309326E1,5.182575642E1
4.808173333E-1,2.666059113E1,-5.772850037E0,-4.396035767E1,5.173611855E1
4.907903333E-1,2.665674591E1,-5.544479370E0,-4.395019531E1,5.170051278E1
5.007633333E-1,2.691405487E1,-5.494438171E0,-4.441494751E1,5.222300990E1
5.107363333E-1,2.690768433E1,-5.672813416E0,-4.433969116E1,5.217482631E1
5.207093333E-1,2.692053223E1,-5.376365662E0,-4.460244751E1,5.237364497E1
5.306833333E-1,2.675082397E1,-5.893867493E0,-4.447320557E1,5.223227231E1
5.406563333E-1,2.657778168E1,-5.680068970E0,-4.464935303E1,5.227051165E1
5.506293333E-1,2.664958954E1,-5.599189758E0,-4.456515503E1,5.222647405E1
5.606023333E-1,2.653446198E1,-5.459396362E0,-4.431994629E1,5.194362637E1
5.705753333E-1,2.648348236E1,-5.609268188E0,-4.468411255E1,5.224469965E1
5.805493333E-1,2.654673767E1,-5.260681152E0,-4.466928101E1,5.222785380E1
5.905223333E-1,2.632009125E1,-5.225372314E0,-4.471200562E1,5.214609444E1
6.004953333E-1,2.633309937E1,-5.184844971E0,-4.482427979E1,5.224491169E1
6.104683333E-1,2.629917145E1,-5.190277100E0,-4.460287476E1,5.203846492E1
